isrun,idmachine,namemachine,nameeng,sizemachine,capacity,Power,point,model,nummachine,usejob,capability,manufacturer,machineinclude,genration,energy,create_date,create_by,update_date,update_by,division,machinegroupid,fis_refcode,out
98,KI1-EM-TRF-E002,หม้อแปลงจ่าย Boiler (เตาเล็ก),หม้อแปลงจ่าย Boiler (เตาเล็ก),319,286,200,Boiler (เตาเล็ก),,49850,Boiler (เตาเล็ก),,สหพัฒนกิจ,,,,10/12/2020,Admin,,,20,327,,
99,KI1-EM-TRF-E003,หม้อแปลงจ่ายภายในเอทานอล,หม้อแปลงจ่ายภายในเอทานอล,323,287,200,ภายในเอทานอล,,49851,ภายในเอทานอล,,สหพัฒนกิจ,,,,10/12/2020,Admin,,,20,327,,
100,KI1-EM-TRF-9015,หม้อแปลงเชื่อม GEN 2  -  GEN 4,Transformer,328,,204,,,,,,,,,,10/12/2020,Admin,,,20,327,,
101,KI1-EM-TRF-9016,หม้อแปลงเชื่อม GEN 3  -  GEN 5,Transformer,328,,204,,,,,,,,,,10/12/2020,Admin,,,20,327,,
102,KI1-EM-TRF-9017,"หม้อแปลงขายไฟไลน์คงผ่าน GEN 4, GEN5",Transformer,328,,205,,,,,,,,,,10/12/2020,Admin,,,20,327,,
103,KI1-EM-TRF-9018,"หม้อแปลงขายไฟไลน์ห้วยแถลงผ่าน GEN 4, GEN5",Transformer,328,,205,,,,,,,,,,10/12/2020,Admin,,,20,327,,
104,KI1-EM-MDB-0001,ตู้ MDB จ่ายหม้อต้ม,Main Distribution Board,,,,,,,,,,,,,10/12/2020,Admin,,,20,328,,
105,KI1-EM-MDB-0002,ตู้ MDB จ่ายหม้อปั่นA2 และ REFINE,Main Distribution Board,,,,,,,,,,,,,10/12/2020,Admin,,,20,328,,
106,KI1-EM-MDB-0003,ตู้ MDB จ่ายลูกหีบ,Main Distribution Board,,,,,,,,,,,,,10/12/2020,Admin,,,20,328,,
107,KI1-EM-MDB-0005,ตู้ MDB จ่ายหม้อน้ำ,Main Distribution Board,,,,,,,,,,,,,10/12/2020,Admin,,,20,328,,
108,KI1-EM-MDB-0008,ตู้ MDB จ่ายหม้อปั่นA1,Main Distribution Board,,,,,,,,,,,,,10/12/2020,Admin,,,20,328,,
109,KI1-EM-MDB-0009,ตู้ MDB หม้อปั่นB,Main Distribution Board,,,,,,,,,,,,,10/12/2020,Admin,,,20,328,,
110,KI1-EM-MDB-0010,ตู้ MDB จ่ายหม้อปั่นR,Main Distribution Board,,,,,,,,,,,,,10/12/2020,Admin,,,20,328,,
111,KI1-EM-MDB-0011,ตู้ MDB จ่ายหม่อปั่นC,Main Distribution Board,,,,,,,,,,,,,10/12/2020,Admin,,,20,328,,
112,KI1-EM-MDB-0012,ตู้ MDB จ่ายโหลดทั่วไปหน้าซ่อมSERVICE LINE,Main Distribution Board,,,,,,,,,,,,,10/12/2020,Admin,,,20,328,,
113,KI1-EM-MDB-1202,ตู้ MDB จ่ายบ้านพักพนักงาน,Main Distribution Board,,,,,,,,,,,,,10/12/2020,Admin,,,20,328,,
114,KI1-EM-MDB-0014,ตู้ MDB คลูลิ่งนอก,Main Distribution Board,,,,,,,,,,,,,10/12/2020,Admin,,,20,328,,
115,KI1-EM-MDB-0015,ตู้ MDB จ่ายหม้อปั่นA3,Main Distribution Board,,,,,,,,,,,,,10/12/2020,Admin,,,20,328,,
116,KI1-EM-MDB-0017,ตู้ MDB โรงกรองน้ำ RO,Main Distribution Board,,,,,,,,,,,,,10/12/2020,Admin,,,20,328,,
117,KI1-EM-MDB-0018,ตู้ MDB รับไฟจาก BIOGAS+TR14 จ่ายคลูลิ่งนอก ,Main Distribution Board,,,,,,,,,,,,,10/12/2020,Admin,,,20,328,,
118,KI1-EM-MDB-0019,ตู้ MDB กลุ่มโหลดสะพานไซด์,Main Distribution Board,,,,,,,,,,,,,10/12/2020,Admin,,,20,328,,
119,KI1-EM-MDB-1019,ตู้ MDB อาคารไฟฟ้า โรงกลึง ยานยนต์,Main Distribution Board,,,,,,,,,,,,,10/12/2020,Admin,,,20,328,,
120,KI1-EM-MDB-0020,ตู้ MDB ulity มอเตอร์ขับลูกหีบ,Main Distribution Board,,,,,,,,,,,,,10/12/2020,Admin,,,20,328,,
121,KI1-EM-MDB-0028,ตู้ MDB จ่ายมอเตอร์ขับลูกหีบ,Main Distribution Board,,,,,,,,,,,,,10/12/2020,Admin,,,20,328,,
122,KI1-EM-MDB-0030,"ตู้ MDB จ่ายปั้มน้ำดิบ + โกดัง 5,7",Main Distribution Board,,,,,,,,,,,,,10/12/2020,Admin,,,20,328,,
123,KI1-EM-MDB-0034,ตู้ MDB จ่ายโรงแก๊ส WETSCSUBBER,Main Distribution Board,,,,,,,,,,,,,10/12/2020,Admin,,,20,328,,
124,KI1-EM-MDB-0035,ตู้ MDB โรงสับเปลือกไม้,Main Distribution Board,,,,,,,,,,,,,10/12/2020,Admin,,,20,328,,
125,KI1-EM-MDB-1201,ตู้ MDB จ่ายออฟฟิต,Main Distribution Board,,,,,,,,,,,,,10/12/2020,Admin,,,20,328,,
126,KI1-EM-MDB-3101,ตู้ MDB บ่อน้ำดิบ 1,Main Distribution Board,,,,,,,,,,,,,10/12/2020,Admin,,,20,328,,
